Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Term Source REF	Characteristics [OrganismPart]	Term Source REF	Characteristics [GrowthCondition]	Characteristics [Organism]	Term Source REF	Characteristics [StrainOrLine]	Characteristics [OrganismPart]	Term Source REF	Characteristics [BioSourceType]	Characteristics [BioSourceProvider]	Characteristics [DevelopmentalStage]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Term Source REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Factor Value [Time]	Unit [TimeUnit]	Factor Value [StrainOrLine]	Factor Value [GrowthCondition]	Factor Value [OrganismPart]	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]	
3339_3348_3344	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3339_3348_3344	P-TABM-3834	3339_3348_3344	total_RNA	The MGED Ontology	3339_3348_3344_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	736_0150_Burt_735_spleenpool34	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	susceptible (line7)	infected with MDV	spleen	NCI_thesaurus	736_0150_Burt_735_spleenpool34	736_0150_Burt_735_spleenpool34.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3796_3756_3763	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3796_3756_3763	P-TABM-3834	3796_3756_3763	total_RNA	The MGED Ontology	3796_3756_3763_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	721_0150_Burt_720_spleenpool4	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	2	d	resistant (line6)	infected with MDV	spleen	NCI_thesaurus	721_0150_Burt_720_spleenpool4	721_0150_Burt_720_spleenpool4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3780_3768_3751	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3780_3768_3751	P-TABM-3834	3780_3768_3751	total_RNA	The MGED Ontology	3780_3768_3751_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	777_0150_Burt_693_spleenpool17	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	resistant (line6)	infected with MDV	spleen	NCI_thesaurus	777_0150_Burt_693_spleenpool17	777_0150_Burt_693_spleenpool17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3748_3797_3755	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3748_3797_3755	P-TABM-3834	3748_3797_3755	total_RNA	The MGED Ontology	3748_3797_3755_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	842_0150_Burt_774_thymuspool1	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	2	d	resistant (line6)	control	thymus	NCI_thesaurus	842_0150_Burt_774_thymuspool1	842_0150_Burt_774_thymuspool1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3341_3346_3342	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3341_3346_3342	P-TABM-3834	3341_3346_3342	total_RNA	The MGED Ontology	3341_3346_3342_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	854_0150_Burt_786_thymuspool25	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	susceptible (line7)	control	thymus	NCI_thesaurus	854_0150_Burt_786_thymuspool25	854_0150_Burt_786_thymuspool25.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3338_3364_3343	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3338_3364_3343	P-TABM-3834	3338_3364_3343	total_RNA	The MGED Ontology	3338_3364_3343_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	853_0150_Burt_785_thymuspool23	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	2	d	susceptible (line7)	infected with MDV	thymus	NCI_thesaurus	853_0150_Burt_785_thymuspool23	853_0150_Burt_785_thymuspool23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3765_3766_3761	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3765_3766_3761	P-TABM-3834	3765_3766_3761	total_RNA	The MGED Ontology	3765_3766_3761_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	772_0150_Burt_688_spleenpool7	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	resistant (line6)	control	spleen	NCI_thesaurus	772_0150_Burt_688_spleenpool7	772_0150_Burt_688_spleenpool7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3366_3354_3376	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3366_3354_3376	P-TABM-3834	3366_3354_3376	total_RNA	The MGED Ontology	3366_3354_3376_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	785_0150_Burt_701_spleenpool33	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	susceptible (line7)	control	spleen	NCI_thesaurus	785_0150_Burt_701_spleenpool33	785_0150_Burt_701_spleenpool33.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3764_3770_3786	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3764_3770_3786	P-TABM-3834	3764_3770_3786	total_RNA	The MGED Ontology	3764_3770_3786_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	828_0150_Burt_814_thymuspool10	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	resistant (line6)	infected with MDV	thymus	NCI_thesaurus	828_0150_Burt_814_thymuspool10	828_0150_Burt_814_thymuspool10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3780_3768_3751	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3780_3768_3751	P-TABM-3834	3780_3768_3751	total_RNA	The MGED Ontology	3780_3768_3751_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	850_0150_Burt_782_thymuspool17	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	resistant (line6)	infected with MDV	thymus	NCI_thesaurus	850_0150_Burt_782_thymuspool17	850_0150_Burt_782_thymuspool17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
